colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
B/Shan/7/97	B/Victoria/505/2005	B/Shandong/7/1997	B/Victoria/505/2005	1997	2005	160	MRC2005Sep2
B/Shan/7/97	B/Johannesburg/27/2005	B/Shandong/7/1997	B/Johannesburg/27/2005	1997	2005	160	MRC2005Sep2
B/Shan/7/97	B/Johannesburg/403/2005	B/Shandong/7/1997	B/Johannesburg/403/2005	1997	2005	80	MRC2005Sep2
B/Shan/7/97	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	80	MRC2006MarVic
B/Shan/7/97	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	320	MRC2006SepVic
B/Shan/7/97	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	160	MRC2006SepVic2
B/Shan/7/97	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	160	MRC2007MarVic
B/Shan7/97	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	320	MRC2007SepVic
B/Shan/7/97_F12/02	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	320	MRC2008MarVic
B/Shan/7/97_F12/02	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	320	MRC2008SepVic
B/Shan/7/97_F12/02	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	160	MRC2009FebVic
B/Shan/7/97_F12/02	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	80	MRC2009SepVic
B/Shan/7/97	B/StPetersburg/17/2006	B/Shandong/7/1997	B/StPetersburg/17/2006	1997	2006	160	MRC2006SepVic
B/Shan/7/97	B/HongKong/809/2006	B/Shandong/7/1997	B/HongKong/809/2006	1997	2006	160	MRC2006SepVic
B/Shan/7/97	B/NewCaledonia/5/2006	B/Shandong/7/1997	B/NewCaledonia/5/2006	1997	2006	<40	MRC2006SepVic2
B/Shan/7/97	B/NewCaledonia/5/2006	B/Shandong/7/1997	B/NewCaledonia/5/2006	1997	2006	80	MRC2006SepVic2
B/Shan/7/97	B/Victoria/304/2006	B/Shandong/7/1997	B/Victoria/304/2006	1997	2006	80	MRC2006SepVic2
B/Shan/7/97	B/Perth/1/2006	B/Shandong/7/1997	B/Perth/1/2006	1997	2006	40	MRC2006SepVic2
B/Shan/7/97	B/Victoria/304/2006	B/Shandong/7/1997	B/Victoria/304/2006	1997	2006	160	MRC2007MarVic
B/Shan/7/97	B/Bangladesh/5278/2006	B/Shandong/7/1997	B/Bangladesh/5278/2006	1997	2006	80	MRC2007MarVic
B/Shan/7/97	B/Texas/39/2006	B/Shandong/7/1997	B/Texas/39/2006	1997	2006	80	MRC2007MarVic
B/Shan/7/97	B/Madagascar/2866/2006	B/Shandong/7/1997	B/Madagascar/2866/2006	1997	2006	160	MRC2007MarVic
B/Shan7/97	B/Victoria/304/2006	B/Shandong/7/1997	B/Victoria/304/2006	1997	2006	160	MRC2007SepVic
B/Shan/7/97_F12/02	B/Victoria/304/2006	B/Shandong/7/1997	B/Victoria/304/2006	1997	2006	160	MRC2008MarVic
B/Shan/7/97_F12/02	B/Victoria/304/2006	B/Shandong/7/1997	B/Victoria/304/2006	1997	2006	160	MRC2008SepVic
B/Shan/7/97_F12/02	B/Victoria/304/2006	B/Shandong/7/1997	B/Victoria/304/2006	1997	2006	160	MRC2009FebVic
